[2023-10-04 13:02:29,642] Iteration  28, score (curr): 816.00
[2023-10-04 13:02:34,741] Iteration  29, score (curr): 788.00
[2023-10-04 13:02:38,107] Iteration  30, score (curr): 776.00
[2023-10-04 13:02:44,102] Iteration  31, score (curr): 764.00
[2023-10-04 13:02:50,102] Iteration  32, score (curr): 752.00
[2023-10-04 13:02:51,432] Iteration  33, score (curr): 740.00
[2023-10-04 13:03:21,512] 2-opt begint met een strafpunten score van: 1208.0
[2023-10-04 13:03:21,580] Iteration   1, score (curr): 1184.00
[2023-10-04 13:03:21,796] Iteration   2, score (curr): 1172.00
[2023-10-04 13:03:22,079] Iteration   3, score (curr): 1160.00
[2023-10-04 13:03:22,237] Iteration   4, score (curr): 1148.00
[2023-10-04 13:03:22,668] Iteration   5, score (curr): 1100.00
[2023-10-04 13:03:23,874] Iteration   6, score (curr): 1088.00
[2023-10-04 13:03:25,234] Iteration   7, score (curr): 1076.00
[2023-10-04 13:03:25,834] Iteration   8, score (curr): 1064.00
[2023-10-04 13:03:27,491] Iteration   9, score (curr): 1052.00
[2023-10-04 13:03:27,576] Iteration  10, score (curr): 1040.00
[2023-10-04 13:03:28,133] Iteration  11, score (curr): 1036.00
[2023-10-04 13:03:28,284] Iteration  12, score (curr): 1024.00
[2023-10-04 13:03:28,509] Iteration  13, score (curr): 1012.00
[2023-10-04 13:03:30,291] Iteration  14, score (curr): 996.00
[2023-10-04 13:03:31,980] Iteration  15, score (curr): 984.00
[2023-10-04 13:03:33,113] Iteration  16, score (curr): 972.00
[2023-10-04 13:03:35,032] Iteration  17, score (curr): 960.00
[2023-10-04 13:03:37,788] Iteration  18, score (curr): 936.00
[2023-10-04 13:03:39,546] Iteration  19, score (curr): 924.00
[2023-10-04 13:03:41,361] Iteration  20, score (curr): 912.00
[2023-10-04 13:03:44,218] Iteration  21, score (curr): 908.00
[2023-10-04 13:03:44,442] Iteration  22, score (curr): 896.00
[2023-10-04 13:03:44,935] Iteration  23, score (curr): 884.00
[2023-10-04 13:03:47,282] Iteration  24, score (curr): 872.00
[2023-10-04 13:03:48,191] Iteration  25, score (curr): 860.00
[2023-10-04 13:03:51,265] Iteration  26, score (curr): 840.00
[2023-10-04 13:03:55,355] Iteration  27, score (curr): 828.00
[2023-10-04 13:03:56,099] Iteration  28, score (curr): 816.00
[2023-10-04 13:04:00,600] Iteration  29, score (curr): 788.00
[2023-10-04 13:04:03,946] Iteration  30, score (curr): 776.00
[2023-10-04 13:04:09,455] Iteration  31, score (curr): 764.00
[2023-10-04 13:04:14,507] Iteration  32, score (curr): 752.00
[2023-10-04 13:04:15,838] Iteration  33, score (curr): 740.00
[2023-10-04 13:04:20,029] Iteration  34, score (curr): 728.00
[2023-10-04 13:04:25,524] Iteration  35, score (curr): 716.00
[2023-10-04 16:06:21,858] 2-opt begint met een strafpunten score van: 1208.0
[2023-10-04 16:07:12,884] 2-opt begint met een strafpunten score van: 1208.0
[2023-10-04 16:07:40,033] 2-opt begint met een strafpunten score van: 1208.0
[2023-10-04 16:07:40,291] Iteration   1, score (curr): 1184.00
[2023-10-04 16:07:41,023] Iteration   2, score (curr): 1172.00
[2023-10-04 16:07:41,972] Iteration   3, score (curr): 1160.00
[2023-10-04 16:07:42,433] Iteration   4, score (curr): 1148.00
[2023-10-04 16:07:43,871] Iteration   5, score (curr): 1100.00
[2023-10-04 16:07:47,902] Iteration   6, score (curr): 1088.00
[2023-10-04 16:07:52,358] Iteration   7, score (curr): 1076.00
[2023-10-04 16:07:54,034] Iteration   8, score (curr): 1064.00
[2023-10-04 16:07:59,139] Iteration   9, score (curr): 1052.00
[2023-10-04 16:07:59,438] Iteration  10, score (curr): 1040.00
[2023-10-04 16:08:01,304] Iteration  11, score (curr): 1036.00
[2023-10-04 16:08:01,768] Iteration  12, score (curr): 1024.00
[2023-10-04 16:08:02,487] Iteration  13, score (curr): 1012.00
[2023-10-04 16:08:09,427] Iteration  14, score (curr): 996.00
[2023-10-04 16:08:15,339] Iteration  15, score (curr): 984.00
[2023-10-04 16:08:19,099] Iteration  16, score (curr): 972.00
[2023-10-04 16:08:25,435] Iteration  17, score (curr): 960.00
[2023-10-04 16:08:34,564] Iteration  18, score (curr): 936.00
